F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0000	2.033e+005	0.9999	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0010	2.031e+005	0.9913	0.9959	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0020	2.0289e+005	0.9764	0.9915	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0030	2.0269e+005	0.9605	0.9867	0.9999	0.0000	0.0000	0.9999	0.9999	0.9999	0.0000	0.0000	
0.0040	2.0249e+005	0.9446	0.9821	0.9997	0.0000	0.0000	0.9997	0.9997	0.9997	0.0000	0.0000	
0.0050	2.0228e+005	0.9286	0.9773	0.9996	0.0000	0.0000	0.9996	0.9996	0.9996	0.0000	0.0000	
0.0060	2.0208e+005	0.9127	0.9725	0.9994	0.0000	0.0000	0.9994	0.9994	0.9994	0.0000	0.0000	
0.0070	2.0188e+005	0.8967	0.9677	0.9991	0.0000	0.0000	0.9991	0.9991	0.9991	0.0000	0.0000	
0.0080	2.0168e+005	0.8808	0.9627	0.9989	0.0000	0.0000	0.9989	0.9989	0.9989	0.0000	0.0000	
0.0090	2.0147e+005	0.8649	0.9571	0.9987	0.0000	0.0000	0.9987	0.9987	0.9987	0.0000	0.0000	
0.0100	2.0127e+005	0.8489	0.9520	0.9984	0.0000	0.0000	0.9984	0.9984	0.9984	0.0000	0.0000	
0.0110	2.0107e+005	0.8330	0.9473	0.9980	0.0000	0.0000	0.9980	0.9980	0.9980	0.0000	0.0000	
0.0120	2.0086e+005	0.8171	0.9426	0.9976	0.0000	0.0000	0.9976	0.9976	0.9976	0.0000	0.0000	
0.0130	2.0066e+005	0.8011	0.9377	0.9970	0.0000	0.0000	0.9970	0.9970	0.9970	0.0000	0.0000	
0.0140	2.0046e+005	0.7852	0.9328	0.9966	0.0000	0.0000	0.9966	0.9966	0.9966	0.0000	0.0000	
0.0150	2.0025e+005	0.7692	0.9280	0.9961	0.0000	0.0000	0.9961	0.9961	0.9961	0.0000	0.0000	
0.0160	2.0005e+005	0.7533	0.9233	0.9956	0.0000	0.0000	0.9956	0.9956	0.9956	0.0000	0.0000	
0.0170	1.9985e+005	0.7374	0.9185	0.9950	0.0000	0.0000	0.9950	0.9950	0.9950	0.0000	0.0000	
0.0180	1.9964e+005	0.7214	0.9136	0.9944	0.0000	0.0000	0.9944	0.9944	0.9944	0.0000	0.0000	
0.0190	1.9944e+005	0.7055	0.9087	0.9938	0.0000	0.0000	0.9938	0.9938	0.9938	0.0000	0.0000	
0.0200	1.9924e+005	0.6895	0.9038	0.9931	0.0000	0.0000	0.9931	0.9931	0.9931	0.0000	0.0000	
0.0210	1.9904e+005	0.6736	0.8991	0.9923	0.0000	0.0000	0.9923	0.9923	0.9923	0.0000	0.0000	
0.0220	1.9883e+005	0.6577	0.8944	0.9915	0.0000	0.0000	0.9915	0.9915	0.9915	0.0000	0.0000	
0.0230	1.9863e+005	0.6417	0.8896	0.9906	0.0000	0.0000	0.9906	0.9906	0.9906	0.0000	0.0000	
0.0240	1.9843e+005	0.6258	0.8849	0.9896	0.0000	0.0000	0.9896	0.9896	0.9896	0.0000	0.0000	
0.0250	1.9822e+005	0.6098	0.8802	0.9884	0.0000	0.0000	0.9884	0.9884	0.9884	0.0000	0.0000	
0.0260	1.9802e+005	0.5939	0.8753	0.9871	0.0000	0.0000	0.9871	0.9871	0.9871	0.0000	0.0000	
0.0270	1.9782e+005	0.5780	0.8701	0.9855	0.0000	0.0000	0.9855	0.9855	0.9855	0.0000	0.0000	
0.0280	1.9762e+005	0.5671	0.8654	0.9842	0.0000	0.0000	0.9842	0.9842	0.9842	0.0000	0.0000	
0.0290	1.9741e+005	0.5656	0.8617	0.9841	0.0000	0.0000	0.9841	0.9841	0.9841	0.0000	0.0000	
0.0300	1.9721e+005	0.5619	0.8575	0.9839	0.0000	0.0000	0.9839	0.9839	0.9839	0.0000	0.0000	
0.0310	1.9701e+005	0.5616	0.8538	0.9836	0.0000	0.0000	0.9836	0.9836	0.9836	0.0000	0.0000	
0.0320	1.968e+005	0.5506	0.8493	0.9833	0.0000	0.0000	0.9833	0.9833	0.9833	0.0000	0.0000	
0.0330	1.966e+005	0.5397	0.8444	0.9829	0.0000	0.0000	0.9829	0.9829	0.9829	0.0000	0.0000	
0.0340	1.964e+005	0.5395	0.8406	0.9824	0.0000	0.0000	0.9824	0.9824	0.9824	0.0000	0.0000	
0.0350	1.9619e+005	0.5393	0.8367	0.9813	0.0000	0.0000	0.9813	0.9813	0.9813	0.0000	0.0000	
0.0360	1.9599e+005	0.5393	0.8354	0.9808	0.0000	0.0000	0.9808	0.9808	0.9808	0.0000	0.0000	
0.0370	1.9579e+005	0.5393	0.8350	0.9808	0.0000	0.0000	0.9808	0.9808	0.9808	0.0000	0.0000	
0.0380	1.9558e+005	0.5369	0.8340	0.9807	0.0000	0.0000	0.9807	0.9807	0.9807	0.0000	0.0000	
0.0390	1.9538e+005	0.5349	0.8330	0.9807	0.0000	0.0000	0.9807	0.9807	0.9807	0.0000	0.0000	
0.0400	1.9518e+005	0.5348	0.8325	0.9806	0.0000	0.0000	0.9806	0.9806	0.9806	0.0000	0.0000	
