F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0000	2.033e+005	1.0000	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0010	2.031e+005	0.9915	0.9959	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0020	2.0289e+005	0.9765	0.9911	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0030	2.0269e+005	0.9606	0.9865	0.9999	0.0000	0.0000	0.9999	0.9999	0.9999	0.0000	0.0000	
0.0040	2.0249e+005	0.9446	0.9819	0.9998	0.0000	0.0000	0.9998	0.9998	0.9998	0.0000	0.0000	
0.0050	2.0228e+005	0.9287	0.9771	0.9996	0.0000	0.0000	0.9996	0.9996	0.9996	0.0000	0.0000	
0.0060	2.0208e+005	0.9128	0.9718	0.9995	0.0000	0.0000	0.9995	0.9995	0.9995	0.0000	0.0000	
0.0070	2.0188e+005	0.8968	0.9665	0.9993	0.0000	0.0000	0.9993	0.9993	0.9993	0.0000	0.0000	
0.0080	2.0168e+005	0.8809	0.9615	0.9990	0.0000	0.0000	0.9990	0.9990	0.9990	0.0000	0.0000	
0.0090	2.0147e+005	0.8649	0.9568	0.9987	0.0000	0.0000	0.9987	0.9987	0.9987	0.0000	0.0000	
0.0100	2.0127e+005	0.8490	0.9518	0.9984	0.0000	0.0000	0.9984	0.9984	0.9984	0.0000	0.0000	
0.0110	2.0107e+005	0.8331	0.9468	0.9980	0.0000	0.0000	0.9980	0.9980	0.9980	0.0000	0.0000	
0.0120	2.0086e+005	0.8171	0.9421	0.9975	0.0000	0.0000	0.9975	0.9975	0.9975	0.0000	0.0000	
0.0130	2.0066e+005	0.8012	0.9372	0.9973	0.0000	0.0000	0.9973	0.9973	0.9973	0.0000	0.0000	
0.0140	2.0046e+005	0.7853	0.9325	0.9969	0.0000	0.0000	0.9969	0.9969	0.9969	0.0000	0.0000	
0.0150	2.0025e+005	0.7693	0.9277	0.9964	0.0000	0.0000	0.9964	0.9964	0.9964	0.0000	0.0000	
0.0160	2.0005e+005	0.7534	0.9229	0.9958	0.0000	0.0000	0.9958	0.9958	0.9958	0.0000	0.0000	
0.0170	1.9985e+005	0.7374	0.9181	0.9953	0.0000	0.0000	0.9953	0.9953	0.9953	0.0000	0.0000	
0.0180	1.9964e+005	0.7215	0.9132	0.9946	0.0000	0.0000	0.9946	0.9946	0.9946	0.0000	0.0000	
0.0190	1.9944e+005	0.7056	0.9084	0.9940	0.0000	0.0000	0.9940	0.9940	0.9940	0.0000	0.0000	
0.0200	1.9924e+005	0.6896	0.9037	0.9933	0.0000	0.0000	0.9933	0.9933	0.9933	0.0000	0.0000	
0.0210	1.9904e+005	0.6737	0.8990	0.9926	0.0000	0.0000	0.9926	0.9926	0.9926	0.0000	0.0000	
0.0220	1.9883e+005	0.6577	0.8943	0.9917	0.0000	0.0000	0.9917	0.9917	0.9917	0.0000	0.0000	
0.0230	1.9863e+005	0.6418	0.8895	0.9906	0.0000	0.0000	0.9906	0.9906	0.9906	0.0000	0.0000	
0.0240	1.9843e+005	0.6259	0.8847	0.9894	0.0000	0.0000	0.9894	0.9894	0.9894	0.0000	0.0000	
0.0250	1.9822e+005	0.6099	0.8797	0.9877	0.0000	0.0000	0.9877	0.9877	0.9877	0.0000	0.0000	
0.0260	1.9802e+005	0.5940	0.8745	0.9858	0.0000	0.0000	0.9858	0.9858	0.9858	0.0000	0.0000	
0.0270	1.9782e+005	0.5780	0.8695	0.9836	0.0000	0.0000	0.9836	0.9836	0.9836	0.0000	0.0000	
0.0280	1.9762e+005	0.5671	0.8649	0.9819	0.0000	0.0000	0.9819	0.9819	0.9819	0.0000	0.0000	
0.0290	1.9741e+005	0.5670	0.8612	0.9819	0.0000	0.0000	0.9819	0.9819	0.9819	0.0000	0.0000	
0.0300	1.9721e+005	0.5652	0.8575	0.9818	0.0000	0.0000	0.9818	0.9818	0.9818	0.0000	0.0000	
0.0310	1.9701e+005	0.5615	0.8533	0.9817	0.0000	0.0000	0.9817	0.9817	0.9817	0.0000	0.0000	
0.0320	1.968e+005	0.5464	0.8482	0.9816	0.0000	0.0000	0.9816	0.9816	0.9816	0.0000	0.0000	
0.0330	1.966e+005	0.5438	0.8442	0.9813	0.0000	0.0000	0.9813	0.9813	0.9813	0.0000	0.0000	
0.0340	1.964e+005	0.5393	0.8403	0.9809	0.0000	0.0000	0.9809	0.9809	0.9809	0.0000	0.0000	
0.0350	1.9619e+005	0.5393	0.8364	0.9800	0.0000	0.0000	0.9800	0.9800	0.9800	0.0000	0.0000	
0.0360	1.9599e+005	0.5393	0.8351	0.9794	0.0000	0.0000	0.9794	0.9794	0.9794	0.0000	0.0000	
0.0370	1.9579e+005	0.5393	0.8347	0.9794	0.0000	0.0000	0.9794	0.9794	0.9794	0.0000	0.0000	
0.0380	1.9558e+005	0.5390	0.8342	0.9794	0.0000	0.0000	0.9794	0.9794	0.9794	0.0000	0.0000	
0.0390	1.9538e+005	0.5349	0.8327	0.9792	0.0000	0.0000	0.9792	0.9792	0.9792	0.0000	0.0000	
0.0400	1.9518e+005	0.5348	0.8322	0.9792	0.0000	0.0000	0.9792	0.9792	0.9792	0.0000	0.0000	
0.0409	1.9498e+005	0.5348	0.8318	0.9792	0.0000	0.0000	0.9792	0.9792	0.9792	0.0000	0.0000	
0.0419	1.9477e+005	0.5348	0.8314	0.9792	0.0000	0.0000	0.9792	0.9792	0.9792	0.0000	0.0000	
0.0429	1.9457e+005	0.5348	0.8311	0.9792	0.0000	0.0000	0.9792	0.9792	0.9792	0.0000	0.0000	
0.0439	1.9437e+005	0.5348	0.8308	0.9792	0.0000	0.0000	0.9792	0.9792	0.9792	0.0000	0.0000	
0.0449	1.9416e+005	0.5347	0.8305	0.9792	0.0000	0.0000	0.9792	0.9792	0.9792	0.0000	0.0000	
0.0459	1.9396e+005	0.5347	0.8301	0.9792	0.0000	0.0000	0.9792	0.9792	0.9792	0.0000	0.0000	
0.0469	1.9376e+005	0.5342	0.8296	0.9792	0.0000	0.0000	0.9792	0.9792	0.9792	0.0000	0.0000	
0.0479	1.9356e+005	0.5342	0.8292	0.9791	0.0000	0.0000	0.9791	0.9791	0.9791	0.0000	0.0000	
0.0489	1.9335e+005	0.5341	0.8288	0.9791	0.0000	0.0000	0.9791	0.9791	0.9791	0.0000	0.0000	
0.0499	1.9315e+005	0.5328	0.8280	0.9791	0.0000	0.0000	0.9791	0.9791	0.9791	0.0000	0.0000	
0.0509	1.9295e+005	0.5326	0.8276	0.9791	0.0000	0.0000	0.9791	0.9791	0.9791	0.0000	0.0000	
0.0519	1.9274e+005	0.5326	0.8273	0.9790	0.0000	0.0000	0.9790	0.9790	0.9790	0.0000	0.0000	
