F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0000	2.033e+005	0.9999	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0010	2.031e+005	0.9913	0.9959	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0020	2.0289e+005	0.9764	0.9911	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0030	2.0269e+005	0.9605	0.9866	0.9999	0.0000	0.0000	0.9999	0.9999	0.9999	0.0000	0.0000	
0.0040	2.0249e+005	0.9446	0.9819	0.9998	0.0000	0.0000	0.9998	0.9998	0.9998	0.0000	0.0000	
0.0050	2.0228e+005	0.9286	0.9770	0.9996	0.0000	0.0000	0.9996	0.9996	0.9996	0.0000	0.0000	
0.0060	2.0208e+005	0.9127	0.9718	0.9994	0.0000	0.0000	0.9994	0.9994	0.9994	0.0000	0.0000	
0.0070	2.0188e+005	0.8967	0.9669	0.9992	0.0000	0.0000	0.9992	0.9992	0.9992	0.0000	0.0000	
0.0080	2.0168e+005	0.8808	0.9618	0.9989	0.0000	0.0000	0.9989	0.9989	0.9989	0.0000	0.0000	
0.0090	2.0147e+005	0.8649	0.9569	0.9986	0.0000	0.0000	0.9986	0.9986	0.9986	0.0000	0.0000	
0.0100	2.0127e+005	0.8489	0.9521	0.9983	0.0000	0.0000	0.9983	0.9983	0.9983	0.0000	0.0000	
0.0110	2.0107e+005	0.8330	0.9471	0.9979	0.0000	0.0000	0.9979	0.9979	0.9979	0.0000	0.0000	
0.0120	2.0086e+005	0.8171	0.9421	0.9975	0.0000	0.0000	0.9975	0.9975	0.9975	0.0000	0.0000	
0.0130	2.0066e+005	0.8011	0.9374	0.9970	0.0000	0.0000	0.9970	0.9970	0.9970	0.0000	0.0000	
0.0140	2.0046e+005	0.7852	0.9325	0.9967	0.0000	0.0000	0.9967	0.9967	0.9967	0.0000	0.0000	
0.0150	2.0025e+005	0.7692	0.9278	0.9963	0.0000	0.0000	0.9963	0.9963	0.9963	0.0000	0.0000	
0.0160	2.0005e+005	0.7533	0.9231	0.9958	0.0000	0.0000	0.9958	0.9958	0.9958	0.0000	0.0000	
0.0170	1.9985e+005	0.7374	0.9183	0.9953	0.0000	0.0000	0.9953	0.9953	0.9953	0.0000	0.0000	
0.0180	1.9964e+005	0.7214	0.9135	0.9947	0.0000	0.0000	0.9947	0.9947	0.9947	0.0000	0.0000	
0.0190	1.9944e+005	0.7055	0.9085	0.9941	0.0000	0.0000	0.9941	0.9941	0.9941	0.0000	0.0000	
0.0200	1.9924e+005	0.6895	0.9039	0.9934	0.0000	0.0000	0.9934	0.9934	0.9934	0.0000	0.0000	
0.0210	1.9904e+005	0.6736	0.8990	0.9927	0.0000	0.0000	0.9927	0.9927	0.9927	0.0000	0.0000	
0.0220	1.9883e+005	0.6577	0.8943	0.9918	0.0000	0.0000	0.9918	0.9918	0.9918	0.0000	0.0000	
0.0230	1.9863e+005	0.6417	0.8896	0.9908	0.0000	0.0000	0.9908	0.9908	0.9908	0.0000	0.0000	
0.0240	1.9843e+005	0.6258	0.8848	0.9896	0.0000	0.0000	0.9896	0.9896	0.9896	0.0000	0.0000	
0.0250	1.9822e+005	0.6098	0.8797	0.9880	0.0000	0.0000	0.9880	0.9880	0.9880	0.0000	0.0000	
0.0260	1.9802e+005	0.5939	0.8748	0.9862	0.0000	0.0000	0.9862	0.9862	0.9862	0.0000	0.0000	
0.0270	1.9782e+005	0.5780	0.8697	0.9843	0.0000	0.0000	0.9843	0.9843	0.9843	0.0000	0.0000	
0.0280	1.9762e+005	0.5671	0.8650	0.9827	0.0000	0.0000	0.9827	0.9827	0.9827	0.0000	0.0000	
0.0290	1.9741e+005	0.5670	0.8614	0.9827	0.0000	0.0000	0.9827	0.9827	0.9827	0.0000	0.0000	
0.0300	1.9721e+005	0.5652	0.8577	0.9826	0.0000	0.0000	0.9826	0.9826	0.9826	0.0000	0.0000	
0.0310	1.9701e+005	0.5616	0.8535	0.9825	0.0000	0.0000	0.9825	0.9825	0.9825	0.0000	0.0000	
0.0320	1.968e+005	0.5487	0.8487	0.9824	0.0000	0.0000	0.9824	0.9824	0.9824	0.0000	0.0000	
0.0330	1.966e+005	0.5440	0.8444	0.9821	0.0000	0.0000	0.9821	0.9821	0.9821	0.0000	0.0000	
0.0340	1.964e+005	0.5393	0.8404	0.9817	0.0000	0.0000	0.9817	0.9817	0.9817	0.0000	0.0000	
0.0350	1.9619e+005	0.5393	0.8365	0.9807	0.0000	0.0000	0.9807	0.9807	0.9807	0.0000	0.0000	
0.0360	1.9599e+005	0.5393	0.8353	0.9802	0.0000	0.0000	0.9802	0.9802	0.9802	0.0000	0.0000	
0.0370	1.9579e+005	0.5393	0.8349	0.9802	0.0000	0.0000	0.9802	0.9802	0.9802	0.0000	0.0000	
0.0380	1.9558e+005	0.5351	0.8334	0.9800	0.0000	0.0000	0.9800	0.9800	0.9800	0.0000	0.0000	
0.0390	1.9538e+005	0.5349	0.8329	0.9800	0.0000	0.0000	0.9800	0.9800	0.9800	0.0000	0.0000	
0.0400	1.9518e+005	0.5348	0.8324	0.9800	0.0000	0.0000	0.9800	0.9800	0.9800	0.0000	0.0000	
