F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.0000	2.0221e+005	1.0000	1.0000	1.0000	1.0000	-0.0000	
0.0010	2.02e+005 	0.9863	0.9932	1.0000	1.0000	-0.0000	
0.0020	2.018e+005	0.9860	0.9930	1.0000	1.0000	-0.0000	
0.0030	2.016e+005	0.9856	0.9928	1.0000	1.0000	-0.0000	
0.0040	2.014e+005	0.9853	0.9927	1.0000	1.0000	-0.0000	
0.0050	2.012e+005	0.9853	0.9927	1.0000	1.0000	-0.0000	
0.0060	2.0099e+005	0.9852	0.9926	1.0000	1.0000	-0.0000	
0.0070	2.0079e+005	0.9847	0.9924	1.0000	1.0000	-0.0000	
0.0080	2.0059e+005	0.9839	0.9920	1.0000	1.0000	-0.0000	
0.0090	2.0039e+005	0.9834	0.9917	1.0000	1.0000	-0.0000	
0.0100	2.0019e+005	0.9823	0.9912	1.0000	1.0000	-0.0000	
0.0110	1.9998e+005	0.9815	0.9907	1.0000	1.0000	-0.0000	
0.0120	1.9978e+005	0.9806	0.9903	1.0000	1.0000	-0.0000	
0.0130	1.9958e+005	0.9801	0.9901	1.0000	1.0000	-0.0000	
0.0140	1.9938e+005	0.9801	0.9900	1.0000	1.0000	-0.0000	
0.0150	1.9918e+005	0.9799	0.9900	1.0000	1.0000	-0.0000	
0.0160	1.9897e+005	0.9799	0.9900	1.0000	1.0000	-0.0000	
0.0170	1.9877e+005	0.9798	0.9899	1.0000	1.0000	-0.0000	
0.0180	1.9857e+005	0.9797	0.9898	1.0000	1.0000	-0.0000	
0.0190	1.9837e+005	0.9795	0.9898	1.0000	1.0000	-0.0000	
0.0200	1.9817e+005	0.9795	0.9898	1.0000	1.0000	-0.0000	
0.0210	1.9796e+005	0.9794	0.9897	1.0000	1.0000	-0.0000	
0.0220	1.9776e+005	0.9792	0.9896	1.0000	1.0000	-0.0000	
0.0230	1.9756e+005	0.9790	0.9895	1.0000	1.0000	-0.0000	
0.0240	1.9736e+005	0.9786	0.9893	1.0000	1.0000	0.0000	
0.0250	1.9716e+005	0.9781	0.9890	1.0000	1.0000	0.0000	
0.0260	1.9695e+005	0.9779	0.9889	1.0000	1.0000	0.0000	
0.0270	1.9675e+005	0.9777	0.9889	1.0000	1.0000	0.0000	
0.0280	1.9655e+005	0.9776	0.9888	1.0000	1.0000	0.0000	
0.0290	1.9635e+005	0.9773	0.9887	1.0000	1.0000	0.0000	
0.0300	1.9615e+005	0.9772	0.9886	1.0000	1.0000	0.0000	
0.0310	1.9594e+005	0.9768	0.9884	1.0000	1.0000	0.0000	
0.0320	1.9574e+005	0.9768	0.9884	1.0000	1.0000	0.0000	
0.0330	1.9554e+005	0.9766	0.9883	1.0000	1.0000	0.0000	
0.0340	1.9534e+005	0.9764	0.9882	1.0000	1.0000	0.0000	
0.0350	1.9514e+005	0.9761	0.9880	1.0000	1.0000	0.0000	
0.0360	1.9493e+005	0.9759	0.9879	1.0000	1.0000	0.0000	
0.0370	1.9473e+005	0.9759	0.9879	1.0000	1.0000	0.0000	
0.0380	1.9453e+005	0.9759	0.9879	1.0000	1.0000	0.0000	
0.0390	1.9433e+005	0.9759	0.9879	1.0000	1.0000	0.0000	
0.0400	1.9413e+005	0.9759	0.9879	1.0000	1.0000	0.0000	
0.0410	1.9392e+005	0.9758	0.9879	1.0000	1.0000	0.0000	
0.0420	1.9372e+005	0.9758	0.9879	1.0000	1.0000	0.0000	
0.0430	1.9352e+005	0.9758	0.9879	1.0000	1.0000	0.0000	
0.0440	1.9332e+005	0.9758	0.9879	1.0000	1.0000	0.0000	
0.0450	1.9312e+005	0.9758	0.9879	1.0000	1.0000	0.0000	
0.0460	1.9291e+005	0.9758	0.9879	1.0000	1.0000	0.0000	
0.0470	1.9271e+005	0.9757	0.9879	1.0000	1.0000	0.0000	
0.0480	1.9251e+005	0.9757	0.9879	1.0000	1.0000	0.0000	
0.0490	1.9231e+005	0.9755	0.9877	1.0000	1.0000	0.0000	
0.0500	1.9211e+005	0.9744	0.9872	1.0000	1.0000	0.0000	
0.0510	1.919e+005	0.9728	0.9864	1.0000	1.0000	0.0000	
0.0520	1.917e+005	0.9717	0.9858	1.0000	1.0000	0.0000	
0.0530	1.915e+005	0.9706	0.9853	1.0000	1.0000	0.0000	
0.0540	1.913e+005	0.9697	0.9848	1.0000	1.0000	0.0000	
0.0550	1.911e+005	0.9687	0.9843	1.0000	1.0000	0.0000	
0.0560	1.9089e+005	0.9677	0.9838	0.9999	0.9999	0.0000	
0.0570	1.9069e+005	0.9668	0.9834	0.9999	0.9999	0.0000	
0.0580	1.9049e+005	0.9656	0.9828	0.9999	0.9999	0.0000	
0.0589	1.9029e+005	0.9650	0.9825	0.9999	0.9999	0.0000	
0.0599	1.9009e+005	0.9648	0.9824	0.9999	0.9999	0.0000	
0.0609	1.8988e+005	0.9648	0.9824	0.9999	0.9999	0.0000	
0.0619	1.8968e+005	0.9643	0.9821	0.9999	0.9999	0.0000	
0.0629	1.8948e+005	0.9637	0.9818	0.9999	0.9999	0.0000	
0.0639	1.8928e+005	0.9633	0.9816	0.9999	0.9999	0.0000	
0.0649	1.8908e+005	0.9629	0.9814	0.9999	0.9999	0.0000	
0.0659	1.8887e+005	0.9624	0.9812	0.9999	0.9999	0.0000	
0.0669	1.8867e+005	0.9622	0.9811	0.9999	0.9999	0.0000	
0.0679	1.8847e+005	0.9618	0.9809	0.9999	0.9999	0.0000	
0.0689	1.8827e+005	0.9614	0.9806	0.9999	0.9999	0.0000	
0.0699	1.8807e+005	0.9611	0.9805	0.9999	0.9999	0.0000	
0.0709	1.8786e+005	0.9608	0.9804	0.9999	0.9999	0.0000	
0.0719	1.8766e+005	0.9606	0.9802	0.9999	0.9999	0.0000	
0.0729	1.8746e+005	0.9604	0.9801	0.9999	0.9999	0.0000	
0.0739	1.8726e+005	0.9600	0.9800	0.9999	0.9999	0.0000	
0.0749	1.8706e+005	0.9597	0.9798	0.9999	0.9999	0.0000	
0.0759	1.8685e+005	0.9595	0.9797	0.9998	0.9998	0.0000	
0.0769	1.8665e+005	0.9592	0.9795	0.9998	0.9998	0.0000	
0.0779	1.8645e+005	0.9589	0.9794	0.9998	0.9998	0.0000	
0.0789	1.8625e+005	0.9587	0.9793	0.9998	0.9998	0.0000	
0.0799	1.8605e+005	0.9585	0.9792	0.9998	0.9998	0.0000	
0.0809	1.8584e+005	0.9579	0.9789	0.9998	0.9998	0.0000	
0.0819	1.8564e+005	0.9576	0.9787	0.9998	0.9998	0.0000	
0.0829	1.8544e+005	0.9574	0.9786	0.9998	0.9998	0.0001	
0.0839	1.8524e+005	0.9569	0.9783	0.9998	0.9998	0.0001	
0.0849	1.8504e+005	0.9564	0.9781	0.9998	0.9998	0.0001	
0.0859	1.8483e+005	0.9560	0.9779	0.9998	0.9998	0.0001	
0.0869	1.8463e+005	0.9556	0.9777	0.9998	0.9998	0.0001	
0.0879	1.8443e+005	0.9550	0.9774	0.9997	0.9997	0.0001	
0.0889	1.8423e+005	0.9545	0.9771	0.9997	0.9997	0.0001	
0.0899	1.8403e+005	0.9541	0.9769	0.9997	0.9997	0.0001	
0.0909	1.8382e+005	0.9537	0.9767	0.9997	0.9997	0.0001	
0.0919	1.8362e+005	0.9530	0.9763	0.9997	0.9997	0.0001	
0.0929	1.8342e+005	0.9523	0.9760	0.9997	0.9997	0.0001	
0.0939	1.8322e+005	0.9518	0.9757	0.9997	0.9997	0.0001	
0.0949	1.8302e+005	0.9510	0.9753	0.9997	0.9997	0.0001	
0.0959	1.8281e+005	0.9506	0.9751	0.9997	0.9997	0.0001	
0.0969	1.8261e+005	0.9501	0.9749	0.9996	0.9996	0.0001	
0.0979	1.8241e+005	0.9497	0.9747	0.9996	0.9996	0.0001	
0.0989	1.8221e+005	0.9494	0.9745	0.9996	0.9996	0.0001	
0.0999	1.8201e+005	0.9488	0.9742	0.9996	0.9996	0.0001	
0.1009	1.818e+005	0.9485	0.9740	0.9996	0.9996	0.0001	
0.1019	1.816e+005	0.9479	0.9738	0.9996	0.9996	0.0001	
0.1029	1.814e+005	0.9474	0.9735	0.9996	0.9996	0.0001	
0.1039	1.812e+005	0.9473	0.9734	0.9995	0.9995	0.0001	
0.1049	1.81e+005 	0.9468	0.9732	0.9995	0.9995	0.0001	
0.1059	1.8079e+005	0.9466	0.9731	0.9995	0.9995	0.0001	
0.1069	1.8059e+005	0.9461	0.9728	0.9995	0.9995	0.0001	
0.1079	1.8039e+005	0.9457	0.9726	0.9995	0.9995	0.0001	
0.1089	1.8019e+005	0.9449	0.9722	0.9995	0.9995	0.0001	
0.1099	1.7999e+005	0.9439	0.9717	0.9995	0.9995	0.0001	
0.1109	1.7978e+005	0.9432	0.9713	0.9994	0.9994	0.0001	
0.1119	1.7958e+005	0.9426	0.9710	0.9994	0.9994	0.0001	
0.1129	1.7938e+005	0.9417	0.9705	0.9994	0.9994	0.0002	
0.1139	1.7918e+005	0.9406	0.9700	0.9994	0.9994	0.0002	
0.1149	1.7898e+005	0.9400	0.9697	0.9994	0.9994	0.0002	
0.1159	1.7877e+005	0.9391	0.9692	0.9993	0.9993	0.0002	
0.1169	1.7857e+005	0.9383	0.9688	0.9993	0.9993	0.0002	
0.1179	1.7837e+005	0.9377	0.9685	0.9993	0.9993	0.0002	
0.1189	1.7817e+005	0.9366	0.9680	0.9993	0.9993	0.0002	
0.1199	1.7797e+005	0.9356	0.9674	0.9993	0.9993	0.0002	
0.1209	1.7776e+005	0.9345	0.9669	0.9992	0.9992	0.0002	
0.1219	1.7756e+005	0.9338	0.9665	0.9992	0.9992	0.0002	
0.1229	1.7736e+005	0.9329	0.9660	0.9992	0.9992	0.0002	
0.1239	1.7716e+005	0.9322	0.9657	0.9992	0.9992	0.0002	
0.1249	1.7696e+005	0.9316	0.9654	0.9991	0.9991	0.0002	
0.1259	1.7675e+005	0.9304	0.9648	0.9991	0.9991	0.0002	
0.1269	1.7655e+005	0.9300	0.9645	0.9991	0.9991	0.0002	
0.1279	1.7635e+005	0.9297	0.9644	0.9991	0.9991	0.0002	
0.1289	1.7615e+005	0.9292	0.9641	0.9990	0.9990	0.0002	
0.1299	1.7595e+005	0.9284	0.9637	0.9990	0.9990	0.0002	
0.1309	1.7574e+005	0.9272	0.9631	0.9990	0.9990	0.0003	
0.1319	1.7554e+005	0.9267	0.9628	0.9990	0.9990	0.0003	
0.1329	1.7534e+005	0.9258	0.9624	0.9989	0.9989	0.0003	
0.1339	1.7514e+005	0.9248	0.9618	0.9989	0.9989	0.0003	
0.1349	1.7494e+005	0.9240	0.9614	0.9989	0.9989	0.0003	
0.1359	1.7473e+005	0.9232	0.9610	0.9989	0.9989	0.0003	
0.1369	1.7453e+005	0.9223	0.9606	0.9988	0.9988	0.0003	
0.1379	1.7433e+005	0.9216	0.9602	0.9988	0.9988	0.0003	
0.1389	1.7413e+005	0.9211	0.9599	0.9988	0.9988	0.0003	
0.1399	1.7393e+005	0.9202	0.9595	0.9987	0.9987	0.0003	
0.1409	1.7372e+005	0.9194	0.9591	0.9987	0.9987	0.0003	
0.1419	1.7352e+005	0.9184	0.9585	0.9987	0.9987	0.0003	
0.1429	1.7332e+005	0.9174	0.9580	0.9986	0.9986	0.0003	
0.1439	1.7312e+005	0.9168	0.9577	0.9986	0.9986	0.0003	
0.1449	1.7292e+005	0.9165	0.9575	0.9986	0.9986	0.0004	
0.1459	1.7271e+005	0.9156	0.9571	0.9985	0.9985	0.0004	
0.1469	1.7251e+005	0.9148	0.9567	0.9985	0.9985	0.0004	
0.1479	1.7231e+005	0.9143	0.9564	0.9985	0.9985	0.0004	
0.1489	1.7211e+005	0.9136	0.9560	0.9984	0.9984	0.0004	
0.1499	1.7191e+005	0.9127	0.9555	0.9984	0.9984	0.0004	
0.1509	1.717e+005	0.9122	0.9553	0.9984	0.9984	0.0004	
0.1519	1.715e+005	0.9119	0.9551	0.9983	0.9983	0.0004	
0.1529	1.713e+005	0.9116	0.9549	0.9983	0.9983	0.0004	
0.1539	1.711e+005	0.9107	0.9545	0.9982	0.9982	0.0004	
0.1549	1.709e+005	0.9102	0.9542	0.9982	0.9982	0.0004	
0.1558	1.7069e+005	0.9092	0.9537	0.9982	0.9982	0.0005	
0.1568	1.7049e+005	0.9084	0.9533	0.9981	0.9981	0.0005	
0.1578	1.7029e+005	0.9074	0.9527	0.9981	0.9981	0.0005	
0.1588	1.7009e+005	0.9067	0.9524	0.9980	0.9980	0.0005	
0.1598	1.6989e+005	0.9058	0.9519	0.9980	0.9980	0.0005	
0.1608	1.6968e+005	0.9048	0.9514	0.9980	0.9980	0.0005	
0.1618	1.6948e+005	0.9046	0.9513	0.9979	0.9979	0.0005	
