F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.0000	2.0433e+005	0.7612	0.8424	1.0000	0.8342	0.0457	
0.0010	2.0412e+005	0.7612	0.8423	1.0000	0.8342	0.0457	
0.0020	2.0392e+005	0.7612	0.8423	0.9999	0.8342	0.0457	
0.0030	2.0372e+005	0.7612	0.8423	0.9999	0.8341	0.0458	
0.0040	2.0351e+005	0.7612	0.8422	0.9998	0.8341	0.0458	
0.0050	2.0331e+005	0.7612	0.8421	0.9997	0.8341	0.0458	
0.0060	2.031e+005	0.7612	0.8421	0.9996	0.8340	0.0458	
0.0070	2.029e+005	0.7612	0.8420	0.9996	0.8339	0.0458	
0.0080	2.027e+005	0.7612	0.8420	0.9995	0.8339	0.0458	
0.0090	2.0249e+005	0.7612	0.8419	0.9994	0.8338	0.0458	
0.0100	2.0229e+005	0.7612	0.8418	0.9993	0.8338	0.0459	
0.0110	2.0208e+005	0.7612	0.8418	0.9992	0.8337	0.0459	
0.0120	2.0188e+005	0.7612	0.8417	0.9991	0.8336	0.0459	
0.0130	2.0168e+005	0.7612	0.8416	0.9990	0.8336	0.0459	
0.0140	2.0147e+005	0.7612	0.8415	0.9989	0.8335	0.0459	
0.0150	2.0127e+005	0.7612	0.8415	0.9988	0.8334	0.0460	
0.0160	2.0106e+005	0.7612	0.8414	0.9987	0.8334	0.0460	
0.0170	2.0086e+005	0.7612	0.8413	0.9986	0.8333	0.0460	
0.0180	2.0066e+005	0.7612	0.8412	0.9985	0.8332	0.0460	
0.0190	2.0045e+005	0.7612	0.8412	0.9984	0.8332	0.0460	
0.0200	2.0025e+005	0.7612	0.8411	0.9983	0.8331	0.0461	
0.0210	2.0004e+005	0.7612	0.8410	0.9982	0.8330	0.0461	
0.0220	1.9984e+005	0.7612	0.8409	0.9981	0.8329	0.0461	
0.0230	1.9964e+005	0.7612	0.8408	0.9980	0.8329	0.0461	
0.0240	1.9943e+005	0.7612	0.8408	0.9979	0.8328	0.0461	
0.0250	1.9923e+005	0.7612	0.8407	0.9977	0.8327	0.0462	
0.0260	1.9902e+005	0.7612	0.8406	0.9976	0.8326	0.0462	
0.0270	1.9882e+005	0.7612	0.8405	0.9975	0.8326	0.0462	
0.0280	1.9862e+005	0.7612	0.8404	0.9974	0.8325	0.0462	
0.0290	1.9841e+005	0.7612	0.8403	0.9973	0.8324	0.0462	
0.0300	1.9821e+005	0.7612	0.8402	0.9972	0.8323	0.0463	
0.0310	1.98e+005 	0.7612	0.8401	0.9971	0.8322	0.0463	
0.0320	1.978e+005	0.7612	0.8400	0.9970	0.8322	0.0463	
0.0330	1.976e+005	0.7612	0.8399	0.9969	0.8321	0.0463	
0.0340	1.9739e+005	0.7612	0.8399	0.9967	0.8320	0.0464	
0.0350	1.9719e+005	0.7612	0.8398	0.9966	0.8319	0.0464	
0.0360	1.9698e+005	0.7612	0.8397	0.9965	0.8318	0.0464	
0.0370	1.9678e+005	0.7611	0.8396	0.9964	0.8317	0.0464	
0.0379	1.9658e+005	0.7610	0.8395	0.9963	0.8316	0.0465	
0.0389	1.9637e+005	0.7608	0.8394	0.9961	0.8315	0.0465	
0.0399	1.9617e+005	0.7606	0.8393	0.9960	0.8315	0.0465	
0.0409	1.9596e+005	0.7604	0.8392	0.9959	0.8314	0.0465	
0.0419	1.9576e+005	0.7602	0.8391	0.9958	0.8313	0.0466	
0.0429	1.9556e+005	0.7600	0.8390	0.9957	0.8312	0.0466	
0.0439	1.9535e+005	0.7599	0.8389	0.9956	0.8311	0.0466	
0.0449	1.9515e+005	0.7597	0.8388	0.9954	0.8310	0.0466	
0.0459	1.9494e+005	0.7596	0.8387	0.9953	0.8309	0.0467	
0.0469	1.9474e+005	0.7594	0.8386	0.9951	0.8308	0.0467	
0.0479	1.9454e+005	0.7592	0.8385	0.9950	0.8307	0.0467	
0.0489	1.9433e+005	0.7590	0.8383	0.9948	0.8306	0.0468	
0.0499	1.9413e+005	0.7588	0.8382	0.9947	0.8305	0.0468	
0.0509	1.9392e+005	0.7586	0.8381	0.9946	0.8304	0.0468	
0.0519	1.9372e+005	0.7585	0.8380	0.9944	0.8303	0.0468	
0.0529	1.9352e+005	0.7583	0.8379	0.9943	0.8302	0.0469	
0.0539	1.9331e+005	0.7581	0.8378	0.9942	0.8301	0.0469	
0.0549	1.9311e+005	0.7578	0.8377	0.9940	0.8300	0.0469	
0.0559	1.929e+005	0.7576	0.8376	0.9939	0.8299	0.0470	
0.0569	1.927e+005	0.7574	0.8374	0.9937	0.8298	0.0470	
0.0579	1.925e+005	0.7572	0.8373	0.9936	0.8297	0.0470	
0.0589	1.9229e+005	0.7570	0.8372	0.9935	0.8296	0.0470	
0.0599	1.9209e+005	0.7568	0.8371	0.9934	0.8295	0.0471	
0.0609	1.9188e+005	0.7566	0.8370	0.9932	0.8294	0.0471	
0.0619	1.9168e+005	0.7564	0.8369	0.9931	0.8293	0.0471	
0.0629	1.9148e+005	0.7562	0.8367	0.9929	0.8292	0.0472	
0.0639	1.9127e+005	0.7560	0.8366	0.9928	0.8291	0.0472	
0.0649	1.9107e+005	0.7557	0.8365	0.9926	0.8290	0.0472	
0.0659	1.9086e+005	0.7556	0.8364	0.9925	0.8288	0.0473	
0.0669	1.9066e+005	0.7554	0.8362	0.9923	0.8287	0.0473	
0.0679	1.9046e+005	0.7551	0.8361	0.9921	0.8286	0.0473	
0.0689	1.9025e+005	0.7549	0.8360	0.9920	0.8285	0.0474	
0.0699	1.9005e+005	0.7547	0.8358	0.9918	0.8284	0.0474	
0.0709	1.8984e+005	0.7545	0.8357	0.9917	0.8283	0.0474	
0.0719	1.8964e+005	0.7542	0.8356	0.9915	0.8281	0.0475	
0.0729	1.8944e+005	0.7540	0.8355	0.9914	0.8280	0.0475	
0.0739	1.8923e+005	0.7538	0.8353	0.9912	0.8279	0.0475	
0.0749	1.8903e+005	0.7535	0.8352	0.9911	0.8278	0.0476	
0.0759	1.8882e+005	0.7533	0.8351	0.9909	0.8277	0.0476	
0.0769	1.8862e+005	0.7531	0.8349	0.9908	0.8275	0.0476	
0.0779	1.8842e+005	0.7528	0.8348	0.9906	0.8274	0.0477	
