F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.0000	2.0234e+005	1.0000	1.0001	1.0001	1.0000	-0.0000	
0.0010	2.0213e+005	0.9912	0.9948	1.0000	1.0000	-0.0000	
0.0020	2.0193e+005	0.9863	0.9918	1.0000	1.0000	-0.0000	
0.0030	2.0173e+005	0.9860	0.9909	1.0000	1.0000	-0.0000	
0.0040	2.0153e+005	0.9842	0.9900	1.0000	1.0000	-0.0000	
0.0050	2.0133e+005	0.9818	0.9891	1.0000	1.0000	-0.0000	
0.0060	2.0112e+005	0.9796	0.9884	1.0000	1.0000	-0.0000	
0.0070	2.0092e+005	0.9784	0.9879	1.0000	1.0000	-0.0000	
0.0080	2.0072e+005	0.9771	0.9872	1.0000	1.0000	-0.0000	
0.0090	2.0052e+005	0.9763	0.9867	1.0000	1.0000	-0.0000	
0.0100	2.0032e+005	0.9750	0.9860	1.0000	1.0000	-0.0000	
0.0110	2.0011e+005	0.9740	0.9854	1.0000	1.0000	-0.0000	
0.0120	1.9991e+005	0.9727	0.9847	1.0000	1.0000	-0.0000	
0.0130	1.9971e+005	0.9710	0.9839	1.0000	1.0000	-0.0000	
0.0140	1.9951e+005	0.9692	0.9833	1.0000	1.0000	-0.0000	
0.0150	1.9931e+005	0.9681	0.9828	1.0000	1.0000	-0.0000	
0.0160	1.991e+005	0.9668	0.9824	1.0000	1.0000	-0.0000	
0.0170	1.989e+005	0.9658	0.9820	1.0000	1.0000	-0.0000	
0.0180	1.987e+005	0.9652	0.9818	1.0000	1.0000	-0.0000	
0.0190	1.985e+005	0.9645	0.9815	1.0000	1.0000	-0.0000	
0.0200	1.983e+005	0.9637	0.9812	1.0000	1.0000	-0.0000	
0.0210	1.9809e+005	0.9623	0.9807	1.0000	1.0000	-0.0000	
0.0220	1.9789e+005	0.9614	0.9804	1.0000	1.0000	-0.0000	
0.0230	1.9769e+005	0.9605	0.9800	1.0000	1.0000	-0.0000	
0.0240	1.9749e+005	0.9595	0.9796	1.0000	1.0000	0.0000	
0.0250	1.9729e+005	0.9587	0.9791	1.0000	1.0000	0.0000	
0.0260	1.9708e+005	0.9577	0.9787	1.0000	1.0000	0.0000	
0.0270	1.9688e+005	0.9565	0.9783	1.0000	1.0000	0.0000	
0.0280	1.9668e+005	0.9558	0.9780	1.0000	1.0000	0.0000	
0.0290	1.9648e+005	0.9554	0.9778	1.0000	1.0000	0.0000	
0.0300	1.9628e+005	0.9546	0.9774	1.0000	1.0000	0.0000	
