F-lost	   TF_cost	
0.0000	2.0202e+005	
0.0010	2.0181e+005	
0.0020	2.0161e+005	
0.0030	2.0141e+005	
0.0040	2.0121e+005	
0.0050	2.0101e+005	
0.0060	2.008e+005	
0.0070	2.006e+005	
0.0080	2.004e+005	
0.0090	2.002e+005	
0.0100	2e+005    	
0.0110	1.9979e+005	
0.0120	1.9959e+005	
0.0130	1.9939e+005	
0.0140	1.9919e+005	
0.0150	1.9899e+005	
0.0160	1.9878e+005	
0.0170	1.9858e+005	
0.0180	1.9838e+005	
0.0190	1.9818e+005	
0.0200	1.9798e+005	
0.0210	1.9777e+005	
0.0220	1.9757e+005	
0.0230	1.9737e+005	
0.0240	1.9717e+005	
0.0250	1.9697e+005	
0.0260	1.9676e+005	
0.0270	1.9656e+005	
0.0280	1.9636e+005	
0.0290	1.9616e+005	
0.0300	1.9596e+005	
0.0310	1.9575e+005	
0.0320	1.9555e+005	
0.0330	1.9535e+005	
0.0340	1.9515e+005	
0.0350	1.9495e+005	
0.0360	1.9474e+005	
0.0370	1.9454e+005	
0.0380	1.9434e+005	
0.0390	1.9414e+005	
0.0400	1.9394e+005	
0.0410	1.9373e+005	
0.0420	1.9353e+005	
0.0430	1.9333e+005	
0.0440	1.9313e+005	
0.0450	1.9293e+005	
0.0460	1.9272e+005	
0.0470	1.9252e+005	
0.0480	1.9232e+005	
0.0490	1.9212e+005	
0.0500	1.9192e+005	
0.0510	1.9171e+005	
0.0520	1.9151e+005	
0.0530	1.9131e+005	
0.0540	1.9111e+005	
0.0550	1.9091e+005	
0.0560	1.907e+005	
0.0570	1.905e+005	
0.0580	1.903e+005	
0.0590	1.901e+005	
0.0600	1.899e+005	
0.0610	1.8969e+005	
0.0620	1.8949e+005	
0.0630	1.8929e+005	
0.0640	1.8909e+005	
0.0650	1.8889e+005	
0.0660	1.8868e+005	
0.0670	1.8848e+005	
0.0680	1.8828e+005	
0.0690	1.8808e+005	
0.0700	1.8788e+005	
0.0710	1.8767e+005	
0.0720	1.8747e+005	
0.0730	1.8727e+005	
0.0740	1.8707e+005	
0.0750	1.8687e+005	
0.0760	1.8666e+005	
0.0770	1.8646e+005	
0.0780	1.8626e+005	
0.0790	1.8606e+005	
0.0800	1.8586e+005	
0.0810	1.8565e+005	
0.0820	1.8545e+005	
0.0830	1.8525e+005	
0.0840	1.8505e+005	
0.0850	1.8485e+005	
0.0860	1.8464e+005	
0.0870	1.8444e+005	
0.0880	1.8424e+005	
0.0890	1.8404e+005	
0.0900	1.8384e+005	
0.0910	1.8363e+005	
0.0920	1.8343e+005	
0.0930	1.8323e+005	
0.0940	1.8303e+005	
0.0950	1.8283e+005	
0.0960	1.8262e+005	
0.0970	1.8242e+005	
0.0980	1.8222e+005	
0.0990	1.8202e+005	
0.1000	1.8182e+005	
0.1010	1.8161e+005	
0.1020	1.8141e+005	
0.1030	1.8121e+005	
0.1040	1.8101e+005	
0.1050	1.8081e+005	
0.1060	1.806e+005	
0.1070	1.804e+005	
0.1080	1.802e+005	
0.1090	1.8e+005  	
0.1100	1.798e+005	
0.1110	1.7959e+005	
0.1120	1.7939e+005	
0.1130	1.7919e+005	
0.1140	1.7899e+005	
0.1150	1.7879e+005	
0.1160	1.7858e+005	
0.1170	1.7838e+005	
0.1180	1.7818e+005	
0.1190	1.7798e+005	
0.1200	1.7778e+005	
0.1210	1.7757e+005	
0.1220	1.7737e+005	
0.1230	1.7717e+005	
0.1240	1.7697e+005	
0.1250	1.7677e+005	
0.1260	1.7656e+005	
0.1270	1.7636e+005	
0.1280	1.7616e+005	
0.1290	1.7596e+005	
0.1300	1.7576e+005	
0.1310	1.7555e+005	
0.1320	1.7535e+005	
0.1330	1.7515e+005	
0.1340	1.7495e+005	
0.1350	1.7475e+005	
0.1360	1.7454e+005	
0.1370	1.7434e+005	
0.1380	1.7414e+005	
0.1390	1.7394e+005	
0.1400	1.7374e+005	
0.1410	1.7353e+005	
0.1420	1.7333e+005	
0.1430	1.7313e+005	
0.1440	1.7293e+005	
0.1450	1.7273e+005	
0.1460	1.7252e+005	
0.1470	1.7232e+005	
0.1480	1.7212e+005	
0.1490	1.7192e+005	
0.1500	1.7172e+005	
0.1510	1.7151e+005	
0.1520	1.7131e+005	
0.1530	1.7111e+005	
0.1540	1.7091e+005	
0.1550	1.7071e+005	
0.1560	1.705e+005	
0.1570	1.703e+005	
0.1580	1.701e+005	
0.1590	1.699e+005	
0.1600	1.697e+005	
0.1610	1.6949e+005	
0.1620	1.6929e+005	
0.1630	1.6909e+005	
0.1640	1.6889e+005	
0.1650	1.6869e+005	
0.1660	1.6848e+005	
0.1670	1.6828e+005	
0.1680	1.6808e+005	
0.1690	1.6788e+005	
0.1700	1.6768e+005	
0.1710	1.6747e+005	
0.1720	1.6727e+005	
0.1730	1.6707e+005	
0.1740	1.6687e+005	
0.1750	1.6667e+005	
0.1760	1.6646e+005	
0.1770	1.6626e+005	
0.1780	1.6606e+005	
0.1790	1.6586e+005	
0.1800	1.6566e+005	
0.1810	1.6545e+005	
0.1820	1.6525e+005	
0.1830	1.6505e+005	
0.1840	1.6485e+005	
0.1850	1.6465e+005	
0.1860	1.6444e+005	
0.1870	1.6424e+005	
0.1880	1.6404e+005	
0.1890	1.6384e+005	
0.1900	1.6364e+005	
0.1910	1.6343e+005	
0.1920	1.6323e+005	
0.1930	1.6303e+005	
0.1940	1.6283e+005	
0.1950	1.6263e+005	
0.1960	1.6242e+005	
0.1970	1.6222e+005	
0.1980	1.6202e+005	
0.1990	1.6182e+005	
0.2000	1.6162e+005	
0.2010	1.6141e+005	
0.2020	1.6121e+005	
0.2030	1.6101e+005	
0.2040	1.6081e+005	
0.2050	1.6061e+005	
0.2060	1.604e+005	
0.2070	1.602e+005	
0.2080	1.6e+005  	
0.2090	1.598e+005	
0.2100	1.596e+005	
0.2110	1.5939e+005	
0.2120	1.5919e+005	
0.2130	1.5899e+005	
0.2140	1.5879e+005	
0.2150	1.5859e+005	
0.2160	1.5838e+005	
0.2170	1.5818e+005	
0.2180	1.5798e+005	
0.2190	1.5778e+005	
0.2200	1.5758e+005	
0.2210	1.5737e+005	
0.2220	1.5717e+005	
0.2230	1.5697e+005	
0.2240	1.5677e+005	
0.2250	1.5657e+005	
0.2260	1.5636e+005	
0.2270	1.5616e+005	
0.2280	1.5596e+005	
0.2290	1.5576e+005	
0.2300	1.5556e+005	
0.2310	1.5535e+005	
0.2320	1.5515e+005	
0.2330	1.5495e+005	
0.2340	1.5475e+005	
0.2350	1.5455e+005	
0.2360	1.5434e+005	
0.2370	1.5414e+005	
0.2380	1.5394e+005	
0.2390	1.5374e+005	
0.2400	1.5354e+005	
0.2410	1.5333e+005	
0.2420	1.5313e+005	
0.2430	1.5293e+005	
0.2440	1.5273e+005	
0.2450	1.5253e+005	
0.2460	1.5232e+005	
0.2470	1.5212e+005	
0.2480	1.5192e+005	
0.2490	1.5172e+005	
0.2500	1.5152e+005	
0.2510	1.5131e+005	
0.2520	1.5111e+005	
0.2530	1.5091e+005	
0.2540	1.5071e+005	
0.2550	1.5051e+005	
0.2560	1.503e+005	
0.2570	1.501e+005	
0.2580	1.499e+005	
0.2590	1.497e+005	
0.2600	1.495e+005	
0.2610	1.4929e+005	
0.2620	1.4909e+005	
0.2630	1.4889e+005	
0.2640	1.4869e+005	
0.2650	1.4849e+005	
0.2660	1.4828e+005	
0.2670	1.4808e+005	
0.2680	1.4788e+005	
0.2690	1.4768e+005	
0.2700	1.4748e+005	
0.2710	1.4727e+005	
0.2720	1.4707e+005	
0.2730	1.4687e+005	
0.2740	1.4667e+005	
0.2750	1.4647e+005	
0.2760	1.4626e+005	
0.2770	1.4606e+005	
0.2780	1.4586e+005	
0.2790	1.4566e+005	
0.2800	1.4546e+005	
0.2810	1.4525e+005	
0.2820	1.4505e+005	
0.2830	1.4485e+005	
0.2840	1.4465e+005	
0.2850	1.4445e+005	
0.2860	1.4424e+005	
0.2870	1.4404e+005	
0.2880	1.4384e+005	
0.2890	1.4364e+005	
0.2900	1.4344e+005	
0.2910	1.4323e+005	
0.2920	1.4303e+005	
0.2930	1.4283e+005	
0.2940	1.4263e+005	
0.2950	1.4243e+005	
0.2960	1.4222e+005	
0.2970	1.4202e+005	
0.2980	1.4182e+005	
0.2990	1.4162e+005	
0.3000	1.4142e+005	
0.3010	1.4121e+005	
0.3020	1.4101e+005	
0.3030	1.4081e+005	
0.3040	1.4061e+005	
0.3050	1.4041e+005	
0.3060	1.402e+005	
0.3070	1.4e+005  	
0.3080	1.398e+005	
0.3090	1.396e+005	
0.3100	1.394e+005	
0.3110	1.3919e+005	
0.3120	1.3899e+005	
0.3130	1.3879e+005	
0.3140	1.3859e+005	
0.3150	1.3839e+005	
0.3160	1.3818e+005	
0.3170	1.3798e+005	
0.3180	1.3778e+005	
0.3190	1.3758e+005	
0.3200	1.3738e+005	
0.3210	1.3717e+005	
0.3220	1.3697e+005	
0.3230	1.3677e+005	
0.3240	1.3657e+005	
0.3250	1.3637e+005	
0.3260	1.3616e+005	
0.3270	1.3596e+005	
0.3280	1.3576e+005	
0.3290	1.3556e+005	
0.3300	1.3536e+005	
0.3310	1.3515e+005	
0.3320	1.3495e+005	
0.3330	1.3475e+005	
0.3340	1.3455e+005	
0.3350	1.3435e+005	
0.3360	1.3414e+005	
0.3370	1.3394e+005	
0.3380	1.3374e+005	
0.3390	1.3354e+005	
0.3400	1.3334e+005	
0.3410	1.3313e+005	
0.3420	1.3293e+005	
0.3430	1.3273e+005	
0.3440	1.3253e+005	
0.3450	1.3233e+005	
0.3460	1.3212e+005	
0.3470	1.3192e+005	
0.3480	1.3172e+005	
0.3490	1.3152e+005	
0.3500	1.3132e+005	
0.3510	1.3111e+005	
0.3520	1.3091e+005	
0.3530	1.3071e+005	
0.3540	1.3051e+005	
0.3550	1.3031e+005	
0.3560	1.301e+005	
0.3570	1.299e+005	
0.3580	1.297e+005	
0.3590	1.295e+005	
0.3600	1.293e+005	
0.3610	1.2909e+005	
0.3620	1.2889e+005	
0.3630	1.2869e+005	
0.3640	1.2849e+005	
0.3650	1.2829e+005	
0.3660	1.2808e+005	
0.3670	1.2788e+005	
0.3680	1.2768e+005	
0.3690	1.2748e+005	
0.3700	1.2728e+005	
0.3710	1.2707e+005	
0.3720	1.2687e+005	
0.3730	1.2667e+005	
0.3740	1.2647e+005	
0.3750	1.2627e+005	
0.3760	1.2606e+005	
0.3770	1.2586e+005	
0.3780	1.2566e+005	
0.3790	1.2546e+005	
0.3800	1.2526e+005	
0.3810	1.2505e+005	
0.3820	1.2485e+005	
0.3830	1.2465e+005	
0.3840	1.2445e+005	
0.3850	1.2425e+005	
0.3860	1.2404e+005	
0.3870	1.2384e+005	
0.3880	1.2364e+005	
0.3890	1.2344e+005	
0.3900	1.2324e+005	
0.3910	1.2303e+005	
0.3920	1.2283e+005	
0.3930	1.2263e+005	
0.3940	1.2243e+005	
