F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0000	2.0221e+005	1.0000	1.0000	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0010	2.02e+005 	0.9860	0.9930	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0020	2.018e+005	0.9841	0.9921	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0030	2.016e+005	0.9816	0.9908	1.0000	1.0000	-0.0000	0.9999	0.9999	0.9999	0.0000	0.0000	
0.0040	2.014e+005	0.9784	0.9892	1.0000	1.0000	0.0000	0.9998	0.9998	0.9998	0.0000	0.0000	
0.0050	2.012e+005	0.9761	0.9881	1.0000	1.0000	0.0000	0.9998	0.9998	0.9998	0.0000	0.0000	
0.0060	2.0099e+005	0.9739	0.9870	1.0000	1.0000	0.0000	0.9997	0.9997	0.9997	0.0000	0.0000	
0.0070	2.0079e+005	0.9724	0.9862	1.0000	1.0000	0.0000	0.9996	0.9996	0.9996	0.0000	0.0000	
0.0080	2.0059e+005	0.9705	0.9852	1.0000	1.0000	0.0000	0.9995	0.9995	0.9995	0.0000	0.0000	
0.0090	2.0039e+005	0.9688	0.9844	1.0000	1.0000	0.0000	0.9994	0.9994	0.9994	0.0000	0.0000	
0.0100	2.0019e+005	0.9671	0.9835	0.9999	0.9999	0.0000	0.9993	0.9993	0.9993	0.0000	0.0000	
0.0110	1.9998e+005	0.9657	0.9828	0.9999	0.9999	0.0000	0.9992	0.9992	0.9992	0.0000	0.0000	
0.0120	1.9978e+005	0.9650	0.9825	0.9999	0.9999	0.0000	0.9992	0.9992	0.9992	0.0000	0.0000	
0.0130	1.9958e+005	0.9643	0.9821	0.9999	0.9999	0.0000	0.9991	0.9991	0.9991	0.0000	0.0000	
0.0140	1.9938e+005	0.9638	0.9819	0.9999	0.9999	0.0000	0.9990	0.9990	0.9990	0.0000	0.0000	
0.0150	1.9918e+005	0.9637	0.9818	0.9999	0.9999	0.0000	0.9989	0.9989	0.9989	0.0000	0.0000	
0.0160	1.9897e+005	0.9634	0.9816	0.9999	0.9999	0.0000	0.9988	0.9988	0.9988	0.0000	0.0000	
0.0170	1.9877e+005	0.9633	0.9816	0.9999	0.9999	0.0000	0.9987	0.9987	0.9987	0.0000	0.0000	
0.0180	1.9857e+005	0.9629	0.9814	0.9999	0.9999	0.0000	0.9986	0.9986	0.9986	0.0000	0.0000	
0.0190	1.9837e+005	0.9629	0.9814	0.9998	0.9998	0.0000	0.9985	0.9985	0.9985	0.0000	0.0000	
0.0200	1.9817e+005	0.9626	0.9812	0.9998	0.9998	0.0000	0.9984	0.9984	0.9984	0.0000	0.0000	
0.0210	1.9796e+005	0.9623	0.9811	0.9998	0.9998	0.0000	0.9982	0.9982	0.9982	0.0000	0.0000	
0.0220	1.9776e+005	0.9619	0.9809	0.9998	0.9998	0.0000	0.9981	0.9981	0.9981	0.0000	0.0000	
0.0230	1.9756e+005	0.9618	0.9808	0.9998	0.9998	0.0001	0.9980	0.9980	0.9980	0.0000	0.0000	
0.0240	1.9736e+005	0.9611	0.9805	0.9998	0.9998	0.0001	0.9979	0.9979	0.9979	0.0000	0.0000	
0.0250	1.9716e+005	0.9608	0.9803	0.9998	0.9998	0.0001	0.9978	0.9978	0.9978	0.0000	0.0000	
0.0260	1.9695e+005	0.9604	0.9801	0.9998	0.9998	0.0001	0.9977	0.9977	0.9977	0.0000	0.0000	
0.0270	1.9675e+005	0.9600	0.9798	0.9997	0.9997	0.0001	0.9976	0.9976	0.9976	0.0000	0.0000	
