F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0000	2.0221e+005	1.0000	1.0000	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0010	2.02e+005 	0.9861	0.9931	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0020	2.018e+005	0.9859	0.9929	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0030	2.016e+005	0.9843	0.9922	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0040	2.014e+005	0.9843	0.9922	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0050	2.012e+005	0.9843	0.9922	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0060	2.0099e+005	0.9841	0.9920	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0070	2.0079e+005	0.9838	0.9919	1.0000	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0080	2.0059e+005	0.9828	0.9914	1.0000	1.0000	-0.0000	0.9999	0.9999	0.9999	0.0000	0.0000	
0.0090	2.0039e+005	0.9819	0.9909	1.0000	1.0000	-0.0000	0.9999	0.9999	0.9999	0.0000	0.0000	
0.0100	2.0019e+005	0.9810	0.9905	1.0000	1.0000	-0.0000	0.9999	0.9999	0.9999	0.0000	0.0000	
0.0110	1.9998e+005	0.9804	0.9902	1.0000	1.0000	-0.0000	0.9999	0.9999	0.9999	0.0000	0.0000	
0.0120	1.9978e+005	0.9798	0.9899	1.0000	1.0000	-0.0000	0.9998	0.9998	0.9998	0.0000	0.0000	
0.0130	1.9958e+005	0.9796	0.9898	1.0000	1.0000	-0.0000	0.9998	0.9998	0.9998	0.0000	0.0000	
0.0140	1.9938e+005	0.9794	0.9897	1.0000	1.0000	-0.0000	0.9998	0.9998	0.9998	0.0000	0.0000	
0.0150	1.9918e+005	0.9793	0.9896	1.0000	1.0000	-0.0000	0.9997	0.9997	0.9997	0.0000	0.0000	
0.0160	1.9897e+005	0.9792	0.9896	1.0000	1.0000	-0.0000	0.9997	0.9997	0.9997	0.0000	0.0000	
0.0170	1.9877e+005	0.9790	0.9895	1.0000	1.0000	-0.0000	0.9997	0.9997	0.9997	0.0000	0.0000	
0.0180	1.9857e+005	0.9784	0.9892	1.0000	1.0000	-0.0000	0.9996	0.9996	0.9996	0.0000	0.0000	
0.0190	1.9837e+005	0.9779	0.9890	1.0000	1.0000	-0.0000	0.9996	0.9996	0.9996	0.0000	0.0000	
0.0200	1.9817e+005	0.9778	0.9889	1.0000	1.0000	-0.0000	0.9995	0.9995	0.9995	0.0000	0.0000	
0.0210	1.9796e+005	0.9775	0.9887	1.0000	1.0000	0.0000	0.9994	0.9994	0.9994	0.0000	0.0000	
0.0220	1.9776e+005	0.9770	0.9885	1.0000	1.0000	0.0000	0.9994	0.9994	0.9994	0.0000	0.0000	
0.0230	1.9756e+005	0.9766	0.9883	1.0000	1.0000	0.0000	0.9993	0.9993	0.9993	0.0000	0.0000	
0.0240	1.9736e+005	0.9762	0.9881	1.0000	1.0000	0.0000	0.9992	0.9992	0.9992	0.0000	0.0000	
0.0250	1.9716e+005	0.9760	0.9880	1.0000	1.0000	0.0000	0.9992	0.9992	0.9992	0.0000	0.0000	
0.0260	1.9695e+005	0.9757	0.9879	1.0000	1.0000	0.0000	0.9991	0.9991	0.9991	0.0000	0.0000	
0.0270	1.9675e+005	0.9757	0.9878	1.0000	1.0000	0.0000	0.9990	0.9990	0.9990	0.0000	0.0000	
0.0280	1.9655e+005	0.9755	0.9877	1.0000	1.0000	0.0000	0.9990	0.9990	0.9990	0.0000	0.0000	
0.0290	1.9635e+005	0.9750	0.9875	1.0000	1.0000	0.0000	0.9989	0.9989	0.9989	0.0000	0.0000	
0.0300	1.9615e+005	0.9747	0.9873	1.0000	1.0000	0.0000	0.9988	0.9988	0.9988	0.0000	0.0000	
0.0310	1.9594e+005	0.9746	0.9873	1.0000	1.0000	0.0000	0.9987	0.9987	0.9987	0.0000	0.0000	
0.0320	1.9574e+005	0.9743	0.9871	1.0000	1.0000	0.0000	0.9986	0.9986	0.9986	0.0000	0.0000	
0.0330	1.9554e+005	0.9742	0.9871	1.0000	1.0000	0.0000	0.9986	0.9986	0.9986	0.0000	0.0000	
0.0340	1.9534e+005	0.9742	0.9871	1.0000	1.0000	0.0000	0.9986	0.9986	0.9986	0.0000	0.0000	
0.0350	1.9514e+005	0.9742	0.9871	1.0000	1.0000	0.0000	0.9986	0.9986	0.9986	0.0000	0.0000	
0.0360	1.9493e+005	0.9741	0.9870	1.0000	1.0000	0.0000	0.9986	0.9986	0.9986	0.0000	0.0000	
0.0370	1.9473e+005	0.9741	0.9870	1.0000	1.0000	0.0000	0.9986	0.9986	0.9986	0.0000	0.0000	
0.0380	1.9453e+005	0.9741	0.9870	1.0000	1.0000	0.0000	0.9985	0.9985	0.9985	0.0000	0.0000	
0.0390	1.9433e+005	0.9741	0.9870	1.0000	1.0000	0.0000	0.9985	0.9985	0.9985	0.0000	0.0000	
0.0400	1.9413e+005	0.9741	0.9870	1.0000	1.0000	0.0000	0.9985	0.9985	0.9985	0.0000	0.0000	
0.0410	1.9392e+005	0.9741	0.9870	1.0000	1.0000	0.0000	0.9985	0.9985	0.9985	0.0000	0.0000	
0.0420	1.9372e+005	0.9741	0.9870	0.9999	0.9999	0.0000	0.9985	0.9985	0.9985	0.0000	0.0000	
0.0430	1.9352e+005	0.9741	0.9870	0.9999	0.9999	0.0000	0.9984	0.9984	0.9984	0.0000	0.0000	
0.0440	1.9332e+005	0.9741	0.9870	0.9999	0.9999	0.0000	0.9984	0.9984	0.9984	0.0000	0.0000	
0.0450	1.9312e+005	0.9741	0.9870	0.9999	0.9999	0.0000	0.9984	0.9984	0.9984	0.0000	0.0000	
0.0460	1.9291e+005	0.9741	0.9870	0.9999	0.9999	0.0000	0.9983	0.9983	0.9983	0.0000	0.0000	
0.0470	1.9271e+005	0.9740	0.9870	0.9999	0.9999	0.0000	0.9983	0.9983	0.9983	0.0000	0.0000	
0.0480	1.9251e+005	0.9739	0.9869	0.9999	0.9999	0.0000	0.9982	0.9982	0.9982	0.0000	0.0000	
0.0490	1.9231e+005	0.9733	0.9866	0.9999	0.9999	0.0000	0.9982	0.9982	0.9982	0.0000	0.0000	
0.0500	1.9211e+005	0.9726	0.9863	0.9999	0.9999	0.0000	0.9981	0.9981	0.9981	0.0000	0.0000	
0.0510	1.919e+005	0.9719	0.9859	0.9999	0.9999	0.0000	0.9981	0.9981	0.9981	0.0000	0.0000	
0.0520	1.917e+005	0.9711	0.9855	0.9999	0.9999	0.0000	0.9980	0.9980	0.9980	0.0000	0.0000	
0.0530	1.915e+005	0.9706	0.9853	0.9999	0.9999	0.0000	0.9979	0.9979	0.9979	0.0000	0.0000	
0.0540	1.913e+005	0.9703	0.9851	0.9999	0.9999	0.0000	0.9978	0.9978	0.9978	0.0000	0.0000	
0.0550	1.911e+005	0.9698	0.9848	0.9999	0.9999	0.0000	0.9977	0.9977	0.9977	0.0000	0.0000	
0.0560	1.9089e+005	0.9694	0.9846	0.9999	0.9999	0.0000	0.9977	0.9977	0.9977	0.0000	0.0000	
0.0570	1.9069e+005	0.9687	0.9843	0.9999	0.9999	0.0000	0.9976	0.9976	0.9976	0.0000	0.0000	
0.0580	1.9049e+005	0.9677	0.9838	0.9999	0.9999	0.0000	0.9975	0.9975	0.9975	0.0000	0.0000	
0.0589	1.9029e+005	0.9671	0.9835	0.9999	0.9999	0.0000	0.9974	0.9974	0.9974	0.0000	0.0000	
0.0599	1.9009e+005	0.9667	0.9833	0.9999	0.9999	0.0000	0.9973	0.9973	0.9973	0.0000	0.0000	
0.0609	1.8988e+005	0.9662	0.9830	0.9999	0.9999	0.0000	0.9972	0.9972	0.9972	0.0000	0.0000	
0.0619	1.8968e+005	0.9659	0.9829	0.9999	0.9999	0.0000	0.9971	0.9971	0.9971	0.0000	0.0000	
0.0629	1.8948e+005	0.9652	0.9825	0.9998	0.9998	0.0000	0.9970	0.9970	0.9970	0.0000	0.0000	
0.0639	1.8928e+005	0.9645	0.9822	0.9998	0.9998	0.0000	0.9970	0.9970	0.9970	0.0000	0.0000	
0.0649	1.8908e+005	0.9635	0.9817	0.9998	0.9998	0.0000	0.9969	0.9969	0.9969	0.0000	0.0000	
0.0659	1.8887e+005	0.9629	0.9814	0.9998	0.9998	0.0000	0.9968	0.9968	0.9968	0.0000	0.0000	
0.0669	1.8867e+005	0.9625	0.9811	0.9998	0.9998	0.0000	0.9967	0.9967	0.9967	0.0000	0.0000	
0.0679	1.8847e+005	0.9616	0.9807	0.9998	0.9998	0.0000	0.9966	0.9966	0.9966	0.0000	0.0000	
0.0689	1.8827e+005	0.9607	0.9802	0.9998	0.9998	0.0001	0.9965	0.9965	0.9965	0.0000	0.0000	
0.0699	1.8807e+005	0.9599	0.9798	0.9998	0.9998	0.0001	0.9964	0.9964	0.9964	0.0000	0.0000	
0.0709	1.8786e+005	0.9592	0.9795	0.9998	0.9998	0.0001	0.9963	0.9963	0.9963	0.0000	0.0000	
0.0719	1.8766e+005	0.9581	0.9789	0.9998	0.9998	0.0001	0.9962	0.9962	0.9962	0.0000	0.0000	
0.0729	1.8746e+005	0.9570	0.9784	0.9997	0.9997	0.0001	0.9961	0.9961	0.9961	0.0000	0.0000	
0.0739	1.8726e+005	0.9562	0.9780	0.9997	0.9997	0.0001	0.9960	0.9960	0.9960	0.0000	0.0000	
0.0749	1.8706e+005	0.9549	0.9773	0.9997	0.9997	0.0001	0.9959	0.9959	0.9959	0.0000	0.0000	
0.0759	1.8685e+005	0.9540	0.9769	0.9997	0.9997	0.0001	0.9957	0.9957	0.9957	0.0000	0.0000	
0.0769	1.8665e+005	0.9528	0.9763	0.9997	0.9997	0.0001	0.9956	0.9956	0.9956	0.0000	0.0000	
0.0779	1.8645e+005	0.9515	0.9756	0.9997	0.9997	0.0001	0.9955	0.9955	0.9955	0.0000	0.0000	
0.0789	1.8625e+005	0.9513	0.9755	0.9997	0.9997	0.0001	0.9954	0.9954	0.9954	0.0000	0.0000	
0.0799	1.8605e+005	0.9513	0.9755	0.9997	0.9997	0.0001	0.9953	0.9953	0.9953	0.0000	0.0000	
0.0809	1.8584e+005	0.9513	0.9755	0.9997	0.9997	0.0001	0.9952	0.9952	0.9952	0.0000	0.0000	
0.0819	1.8564e+005	0.9507	0.9752	0.9996	0.9996	0.0001	0.9951	0.9951	0.9951	0.0000	0.0000	
0.0829	1.8544e+005	0.9494	0.9745	0.9996	0.9996	0.0001	0.9950	0.9950	0.9950	0.0000	0.0000	
0.0839	1.8524e+005	0.9487	0.9742	0.9996	0.9996	0.0001	0.9949	0.9949	0.9949	0.0000	0.0000	
0.0849	1.8504e+005	0.9478	0.9737	0.9996	0.9996	0.0001	0.9948	0.9948	0.9948	0.0000	0.0000	
0.0859	1.8483e+005	0.9463	0.9729	0.9996	0.9996	0.0001	0.9947	0.9947	0.9947	0.0000	0.0000	
0.0869	1.8463e+005	0.9454	0.9725	0.9996	0.9996	0.0001	0.9945	0.9945	0.9945	0.0000	0.0000	
0.0879	1.8443e+005	0.9441	0.9718	0.9996	0.9996	0.0001	0.9944	0.9944	0.9944	0.0000	0.0000	
0.0889	1.8423e+005	0.9428	0.9712	0.9995	0.9995	0.0001	0.9943	0.9943	0.9943	0.0000	0.0000	
0.0899	1.8403e+005	0.9421	0.9708	0.9995	0.9995	0.0001	0.9942	0.9942	0.9942	0.0000	0.0000	
