F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	
0.0000	2.0433e+005	1.0000	1.0000	1.0001	1.0000	-0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	
0.0010	2.0412e+005	0.9986	0.9996	1.0000	0.9999	0.0000	0.9998	0.9999	0.9999	0.0000	0.0000	
0.0020	2.0392e+005	0.9973	0.9991	1.0000	0.9998	0.0001	0.9996	0.9997	0.9998	0.0000	0.0000	
0.0030	2.0372e+005	0.9967	0.9989	1.0000	0.9997	0.0001	0.9994	0.9996	0.9997	0.0000	0.0000	
0.0040	2.0351e+005	0.9958	0.9986	1.0000	0.9995	0.0001	0.9991	0.9994	0.9996	0.0000	0.0000	
0.0050	2.0331e+005	0.9949	0.9982	0.9999	0.9994	0.0002	0.9988	0.9992	0.9995	0.0000	0.0000	
0.0060	2.031e+005	0.9939	0.9978	0.9999	0.9992	0.0002	0.9985	0.9990	0.9993	0.0000	0.0000	
0.0070	2.029e+005	0.9928	0.9974	0.9999	0.9990	0.0002	0.9982	0.9988	0.9991	0.0000	0.0000	
0.0080	2.027e+005	0.9916	0.9970	0.9998	0.9988	0.0003	0.9979	0.9986	0.9990	0.0000	0.0000	
0.0090	2.0249e+005	0.9906	0.9965	0.9998	0.9987	0.0003	0.9976	0.9984	0.9988	0.0000	0.0000	
0.0100	2.0229e+005	0.9896	0.9962	0.9998	0.9985	0.0004	0.9973	0.9981	0.9987	0.0000	0.0000	
0.0110	2.0208e+005	0.9882	0.9956	0.9997	0.9983	0.0004	0.9969	0.9979	0.9985	0.0000	0.0000	
0.0120	2.0188e+005	0.9870	0.9952	0.9997	0.9981	0.0005	0.9966	0.9977	0.9983	0.0000	0.0000	
0.0130	2.0168e+005	0.9861	0.9948	0.9996	0.9979	0.0005	0.9962	0.9974	0.9982	0.0000	0.0000	
0.0140	2.0147e+005	0.9852	0.9944	0.9996	0.9977	0.0006	0.9959	0.9972	0.9980	0.0000	0.0000	
0.0150	2.0127e+005	0.9845	0.9940	0.9996	0.9975	0.0006	0.9955	0.9970	0.9979	0.0000	0.0000	
0.0160	2.0106e+005	0.9838	0.9937	0.9995	0.9972	0.0007	0.9952	0.9967	0.9977	0.0000	0.0000	
0.0170	2.0086e+005	0.9834	0.9934	0.9995	0.9970	0.0007	0.9948	0.9965	0.9976	0.0000	0.0000	
0.0180	2.0066e+005	0.9830	0.9932	0.9995	0.9968	0.0008	0.9945	0.9963	0.9975	0.0000	0.0000	
0.0190	2.0045e+005	0.9825	0.9929	0.9994	0.9966	0.0008	0.9941	0.9961	0.9974	0.0000	0.0000	
0.0200	2.0025e+005	0.9818	0.9925	0.9994	0.9964	0.0009	0.9937	0.9958	0.9972	0.0000	0.0000	
0.0210	2.0004e+005	0.9808	0.9921	0.9994	0.9962	0.0010	0.9934	0.9956	0.9971	0.0000	0.0000	
0.0220	1.9984e+005	0.9803	0.9918	0.9993	0.9960	0.0010	0.9930	0.9953	0.9970	0.0000	0.0000	
0.0230	1.9964e+005	0.9797	0.9915	0.9993	0.9958	0.0011	0.9926	0.9951	0.9968	0.0000	0.0000	
0.0240	1.9943e+005	0.9790	0.9911	0.9993	0.9955	0.0011	0.9922	0.9948	0.9966	0.0000	0.0000	
0.0250	1.9923e+005	0.9783	0.9907	0.9992	0.9953	0.0012	0.9919	0.9946	0.9965	0.0000	0.0000	
0.0260	1.9902e+005	0.9769	0.9902	0.9992	0.9951	0.0012	0.9915	0.9943	0.9963	0.0000	0.0000	
0.0270	1.9882e+005	0.9763	0.9899	0.9991	0.9949	0.0013	0.9911	0.9941	0.9961	0.0000	0.0000	
0.0280	1.9862e+005	0.9750	0.9894	0.9991	0.9947	0.0013	0.9907	0.9938	0.9959	0.0000	0.0000	
0.0290	1.9841e+005	0.9746	0.9891	0.9990	0.9944	0.0014	0.9903	0.9935	0.9957	0.0000	0.0000	
0.0300	1.9821e+005	0.9740	0.9888	0.9990	0.9942	0.0015	0.9899	0.9932	0.9955	0.0000	0.0000	
0.0310	1.98e+005 	0.9734	0.9884	0.9989	0.9940	0.0015	0.9895	0.9930	0.9953	0.0000	0.0000	
0.0320	1.978e+005	0.9731	0.9882	0.9989	0.9938	0.0016	0.9891	0.9927	0.9951	0.0000	0.0000	
0.0330	1.976e+005	0.9730	0.9880	0.9989	0.9936	0.0016	0.9887	0.9925	0.9950	0.0000	0.0000	
0.0340	1.9739e+005	0.9727	0.9877	0.9988	0.9933	0.0017	0.9883	0.9922	0.9948	0.0000	0.0000	
